,ativo,precoDia,min52,max52,Dividend,Val12%,P/VP,P/L,P/Ebitda,P/Ebit,P/Ativo,EV/Ebitda,EV/EBIT,PSR,P/Cap.Giro,P/Ativo Circ Liq,Margem Bruta%,Margem Ebitda%,Margem Ebit%,Margem Líquida%,Giro Ativos,ROE%,ROA%,ROIC%,LPA,VPA,Dívida Líq/Patrim,Dívida Líq/EBITDA,Dívida Líq/EBIT,Patrim / Ativos,Passivos / Ativos,Liquidez Corrente,CAGR Receitas 5 Anos,CAGR Lucros 5 Anos
128,SHUL4,"5,91","5,91","16,58",4.49,-0.18600000000000003,0.85,5.43,"3,84","5,48","0,38","3,78","5,41","0,50","1,02","1,02",0.2177,0.1298,0.0909,0.0916,"0,76",0.1567,0.0695,0.0693,"1,09","6,94","0,35","1,59","2,27","0,44","0,56","2,51","10,35 %","15,10 %"
129,PFRM3,"4,00","3,10","7,69",0.0,-0.08259999999999999,0.49,41.35,"5,14","8,13","0,16","9,73","15,38","0,10","0,95","0,95",0.1537,0.020099999999999996,0.0127,0.0025,"1,51",0.011899999999999999,0.0038,0.030699999999999998,"0,10","8,11","0,44","4,59","7,26","0,32","0,68","1,33","6,74 %",- %
130,CCPR3,"14,04","11,51","26,49",0.0,0.15560000000000002,0.73,23.95,"8,55","8,55","0,44","12,63","12,63","4,92","3,11","3,11",0.6531999999999999,0.5758,0.5758,0.20550000000000002,"0,09",0.030600000000000002,0.0182,0.0437,"0,59","19,16","0,35","4,08","4,08","0,60","0,40","3,88","4,15 %","13,12 %"
131,BBAS3,"25,50","22,13","53,30",9.52,-0.4579,0.74,4.08,-,"8,51","0,05",-,"8,51","0,57","-0,25","-0,25",0.2161,-90000.0,0.0668,0.1393,"0,08",0.18100000000000002,0.0116,-90000.0,"6,25","34,51",-,-,-,"0,06","0,94","0,73","-6,76 %","2,53 %"
132,HAGA4,"1,82","1,42","4,00",0.0,0.22149999999999997,0.0,8.65,-,"5,05","0,39",-,"7,59","0,92","0,99","0,99",0.21780000000000002,-90000.0,0.182,0.1063,"0,42",-0.0332,0.044500000000000005,-0.1052,"0,21","-6,35",-,-,"0,70","-1,34","2,34","1,93","-4,49 %","-4,46 %"
133,TIET3,"3,10","2,02","4,37",5.35,0.4833,4.26,20.61,"5,97","8,56","0,79","7,86","11,26","3,02","-62,64","-62,64",0.3528,0.5056,0.3528,0.1464,"0,26",0.20679999999999998,0.0385,0.1148,"0,15","0,73","1,99","2,79","4,00","0,19","0,81","0,95","-4,83 %","-17,87 %"
134,BMGB4,"4,00","3,40","10,30",6.25,-0.5238,0.58,6.07,-,"16,34","0,12",-,"16,34","0,67",-,-,0.6317,-90000.0,0.0412,0.111,"0,18",0.0958,0.0199,-90000.0,"0,66","6,88",-,-,-,"0,21","0,79",-,"8,97 %","13,46 %"
135,TIET11,"13,15","9,99","19,50",6.3,0.2669,3.62,17.49,"5,06","7,26","0,67","7,86","11,26","2,56","-53,14","-53,14",0.3528,0.5056,0.3528,0.1464,"0,26",0.20679999999999998,0.0385,0.1148,"0,75","3,64","1,99","2,79","4,00","0,19","0,81","0,95","-4,83 %","-17,87 %"
136,PEAB3,"59,99","31,20","61,00",6.48,0.8256,1.45,16.87,-,"15,77","1,11",-,"11,02","1,90","3,64","3,64",0.3074,-90000.0,0.12029999999999999,0.1124,"0,59",0.0858,0.066,0.053399999999999996,"3,56","41,43","-0,33",-,"-3,57","0,77","0,23","3,49","7,19 %","11,98 %"
137,COCE5,"47,80","41,00","64,27",3.91,-0.0795,1.2,9.19,-,"6,60","0,43",-,-,"0,69","33,82","33,82",0.1408,-90000.0,0.10490000000000001,0.0753,"0,62",0.13,0.0467,0.09,"5,20","40,00","0,65",-,"3,58","0,36","0,64","1,05","5,44 %","2,21 %"
138,BBDC3,"17,67","15,66","35,30",10.69,-0.41,1.07,6.31,"7,31","12,50","0,12","7,63","13,05","1,44","-1,53","-1,53",0.33799999999999997,0.19690000000000002,0.1151,0.2281,"0,09",0.1689,0.0197,-90000.0,"2,80","16,58",-,-,-,"0,12","0,88","0,86","1,64 %","3,03 %"
139,MGEL4,"4,89","4,20","11,00",0.0,-0.3004,0.0,0.0,"0,43","0,61","0,08","9,55","13,71","0,05","0,20","0,20",0.1458,0.1235,0.086,-0.035699999999999996,"1,46",0.0516,-0.052199999999999996,0.1523,"-3,31","-64,09",-,"9,27","13,31","-1,01","2,01","3,05","5,41 %",- %
140,B3SA3,"35,85","29,56","52,29",3.99,0.1277,2.91,27.21,-,"22,84","1,84",-,"21,26","11,22","30,58","30,58",0.8983,-90000.0,0.4915,0.41259999999999997,"0,16",0.10679999999999999,0.0678,0.0876,"1,32","12,34","-0,20",-,"-1,58","0,63","0,37","1,30","24,30 %","4,25 %"
141,TRPL4,"19,45","17,41","24,79",7.77,0.0005,0.93,7.2,"5,55","5,47","0,59","6,15","6,07","3,88","3,86","3,86",0.7119,0.6992,0.7082999999999999,0.5384,"0,15",0.1293,0.0824,0.1152,"2,70","20,89","0,05","0,27","0,27","0,64","0,36","3,05","20,76 %","28,03 %"
142,OIBR3,"0,47","0,44","1,78",0.0,-0.6759000000000001,0.16,0.0,-,"-0,94","0,04",-,"-6,32","0,14","0,45","0,45",0.2394,-90000.0,-0.1479,-0.4517,"0,28",-0.5111,-0.1265,-0.08289999999999999,"-1,53","2,99","0,90",-,"-5,36","0,25","0,75","1,52","-5,94 %",- %
143,MGLU3,"35,54","19,92","58,85",1.35,0.7143999999999999,7.63,62.64,-,"44,81","2,92",-,"41,78","2,90","11,93","11,93",0.2793,-90000.0,0.06480000000000001,0.0464,"1,00",0.1219,0.0466,0.11789999999999999,"0,57","4,66","-0,52",-,"-3,03","0,38","0,62","1,60","17,24 %",- %
144,CBEE3,"15,00","15,00","22,90",1.63,-0.3307,0.68,8.95,"2,30","3,89","0,24","5,59","9,45","0,42","-2,50","-2,50",0.1648,0.1844,0.109,0.0473,"0,56",0.07629999999999999,0.0264,0.0653,"1,68","21,97","0,98","3,29","5,57","0,35","0,65","0,72","2,72 %",- %
145,PTNT4,"3,99","2,71","6,54",4.43,0.33,0.72,7.47,-,"7,20","0,36",-,"13,15","0,36","2,98","2,98",0.12380000000000001,-90000.0,0.0504,0.048600000000000004,"0,98",0.09630000000000001,0.0478,0.06309999999999999,"0,53","5,54","0,32",-,"3,23","0,50","0,50","1,36","4,59 %","11,27 %"
146,BRKM3,"16,59","13,86","49,05",5.06,-0.6487,3.35,0.0,-,"-233,76","0,19",-,-,"0,25","1,84","1,84",0.127,-90000.0,-0.0011,-0.0554,"0,77",-0.7343999999999999,-0.0425,-0.0591,"-3,63","4,95","5,26",-,"-366,81","0,06","0,94","1,44","2,22 %",- %
147,ABCB4,"11,80","11,03","23,75",8.9,-0.37670000000000003,0.64,4.88,"5,13","4,06","0,07","5,13","4,06","0,97","6,50","6,50",0.2717,0.1889,0.23879999999999998,0.1989,"0,07",0.1308,0.0146,-90000.0,"2,42","18,51",-,-,-,"0,11","0,89","1,02","0,06 %","5,06 %"
148,HAPV3,"37,75","27,71","69,11",1.16,0.36229999999999996,3.86,32.93,"23,83","27,14","2,25","24,43","27,82","4,98","67,44","67,44",0.39649999999999996,0.2089,0.1834,0.1512,"0,45",0.1173,0.0684,0.0806,"1,15","9,77","0,10","0,60","0,68","0,58","0,42","1,24","18,04 %","22,30 %"
149,OIBR4,"0,88","0,85","1,79",0.0,-0.4133,0.29,0.0,-,"-1,76","0,07",-,"-6,32","0,26","0,85","0,85",0.2394,-90000.0,-0.1479,-0.4517,"0,28",-0.5111,-0.1265,-0.08289999999999999,"-1,53","2,99","0,90",-,"-5,36","0,25","0,75","1,52","-5,94 %",- %
150,PINE4,"1,70","1,53","4,90",0.0,-0.2766,0.3,0.0,"-0,89","-0,90","0,02","-0,44","-0,44","0,44","-9,60","-9,60",-0.16940000000000002,-0.49,-0.4838,-0.20420000000000002,"0,06",-0.1405,-0.0116,-90000.0,"-0,80","5,68",-,-,-,"0,08","0,92","0,99","-9,78 %",- %
151,SAPR3,"4,20","4,07","24,01",6.32,-0.7796,1.03,5.88,"3,22","3,88","0,53","4,62","5,58","1,34","-52,61","-52,61",0.6064,0.4175,0.34600000000000003,0.22870000000000001,"0,40",0.17489999999999997,0.09050000000000001,0.1362,"0,71","4,09","0,45","1,42","1,72","0,52","0,48","0,91","9,71 %","19,76 %"
152,SLCE3,"20,00","16,12","25,99",4.74,-0.0253,1.28,12.1,-,"6,82","0,55",-,"8,57","1,25","3,64","3,64",0.2576,-90000.0,0.1837,0.1036,"0,44",0.1056,0.0453,0.09480000000000001,"1,65","15,66","0,33",-,"1,75","0,43","0,57","1,51","11,54 %","21,06 %"
153,UCAS3,"3,33","2,36","6,30",13.3,0.2288,1.38,12.24,"7,66","11,01","0,96","5,34","7,67","1,47","3,38","3,38",0.3981,0.1924,0.13390000000000002,0.1204,"0,65",0.1124,0.0788,0.08,"0,27","2,42","-0,42","-2,32","-3,34","0,70","0,30","2,10","-7,68 %","6,53 %"
154,BBDC4,"19,21","17,65","37,47",10.82,-0.4421,1.16,6.86,"7,95","13,59","0,14","7,63","13,05","1,56","-1,66","-1,66",0.33799999999999997,0.19690000000000002,0.1151,0.2281,"0,09",0.1689,0.0197,-90000.0,"2,80","16,58",-,-,-,"0,12","0,88","0,86","1,64 %","3,03 %"
155,APER3,"15,44","12,78","31,44",0.0,-0.32780000000000004,1.01,70.87,-,"-676,54","0,68",-,"-373,18","1,95","2,85","2,85",1.0,-90000.0,-0.0029,0.0274,"0,35",0.014199999999999999,0.0096,-0.0019,"0,22","15,33","-0,45",-,"303,36","0,67","0,33","2,57","-13,74 %",- %
156,OSXB3,"2,80","2,30","6,10",0.0,-0.3488,0.0,0.0,-,"-0,04","0,00",-,"-20,47","0,73","-0,02","-0,02",1.0,-90000.0,-17.548,-47.334399999999995,"0,01",0.1241,-0.2826,0.7653,"-180,63","-1.455,97",-,-,"-20,43","-2,28","3,28","0,03","-42,35 %",- %
157,GNDI3,"37,35","32,36","76,06",0.45,0.1394,3.54,53.23,"19,57","24,87","1,71","17,29","21,98","2,68","6,37","6,37",0.27440000000000003,0.13699999999999998,0.10779999999999999,0.0504,"0,64",0.0665,0.0322,0.07150000000000001,"0,70","10,55","-0,41","-2,27","-2,89","0,48","0,52","2,45","23,03 %","48,67 %"
158,UNIP3,"28,11","22,96","40,49",2.37,-0.16190000000000002,1.85,15.95,"4,74","6,92","0,74",-,-,"0,90","6,51","6,51",0.26789999999999997,0.19039999999999999,0.1304,0.0565,"0,82",0.1162,0.0463,0.145,"1,76","15,16","0,11","0,28","0,41","0,40","0,60","1,54","28,83 %","14,43 %"
159,SCAR3,"30,00","28,41","56,01",1.44,-0.1108,1.17,19.93,"6,80","8,20","0,59","11,23","13,54","4,65","5,78","5,78",0.7448,0.684,0.5674,0.2334,"0,13",0.0587,0.0294,0.0662,"1,51","25,63","0,76","4,43","5,34","0,50","0,50","4,49","-4,84 %","-11,86 %"
160,VVAR3,"4,10","3,84","16,64",0.0,-0.061799999999999994,9.22,0.0,"-25,87","-5,12","0,22","-47,90","-9,47","0,21","-1,62","-1,62",0.2862,-0.008,-0.0406,-0.0559,"1,05",-2.4792,-0.0587,-0.249,"-1,10","0,44","7,85","-22,02","-4,35","0,02","0,98","0,79","5,89 %",- %
161,CAML3,"7,47","6,27","9,79",2.09,0.08259999999999999,1.3,10.78,-,"9,56","0,53",-,"15,30","0,53","1,77","1,77",0.23600000000000002,-90000.0,0.0552,0.049,"1,01",0.1208,0.0496,0.0602,"0,69","5,74","0,78",-,"5,74","0,41","0,59","2,02","5,26 %","28,12 %"
162,LWSA3,"16,72","10,20","25,50",0.0,-0.1883,23.69,115.81,"19,59","39,53","4,07","21,03","42,44","5,43","-33,91","-33,91",0.4182,0.27699999999999997,0.1373,0.046900000000000004,"0,75",0.2046,0.0352,0.1699,"0,14","0,71","1,74","1,44","2,91","0,17","0,83","0,74",- %,- %
163,CEAB3,"6,09","5,30","19,11",4.16,-0.6375,0.69,1.93,"1,20","1,82","0,31","1,93","2,92","0,36","1,50","1,50",0.48590000000000005,0.2955,0.1955,0.1839,"0,88",0.35479999999999995,0.161,0.13470000000000001,"3,15","8,89","0,42","0,73","1,10","0,45","0,55","1,71",- %,- %
164,IGBR3,"1,76","1,62","4,20",0.0,-0.2108,0.0,0.0,-,"-2,38","0,09",-,"-103,97","3,51","-0,25","-0,25",0.7936,-90000.0,-1.476,-15.058399999999999,"0,03",0.1045,-0.3791,-0.2546,"-7,55","-72,27",-,-,"-101,59","-3,63","4,63","0,03","-9,22 %",- %
165,SANB4,"12,60","12,00","24,27",12.04,-0.4175,1.36,6.71,-,"6,51","0,11",-,"6,16","1,26","-1,05","-1,05",0.3296,-90000.0,0.19440000000000002,0.1885,"0,09",0.2022,0.0168,-90000.0,"1,88","9,29",-,-,-,"0,08","0,92","0,85","0,84 %","11,08 %"
166,ABEV3,"11,39","11,04","20,18",4.31,-0.32880000000000004,2.87,14.7,-,"11,16","1,76",-,"10,61","3,41","68,67","68,67",0.5879,-90000.0,0.30519999999999997,0.23170000000000002,"0,52",0.1948,0.1198,0.23309999999999997,"0,77","3,98","-0,14",-,"-0,55","0,61","0,39","1,10","2,40 %","-1,10 %"
167,HGTX3,"13,29","11,18","35,35",6.09,-0.5366,1.51,10.06,-,"12,26","1,19",-,"10,56","1,39","2,43","2,43",0.43810000000000004,-90000.0,0.11380000000000001,0.1386,"0,86",0.1505,0.1185,0.1143,"1,32","8,78","-0,21",-,"-1,70","0,79","0,21","3,73","-0,51 %","-5,25 %"
168,MTSA4,"15,55","13,00","28,25",5.14,-0.0383,0.59,7.89,"5,06","8,23","0,46","6,16","10,02","0,49","0,88","0,88",0.22219999999999998,0.09720000000000001,0.059699999999999996,0.0623,"0,94",0.0745,0.0583,0.0407,"1,97","26,43","-0,21","-1,82","-2,96","0,78","0,22","3,80","5,41 %","1,65 %"
169,PTBL3,"1,78","1,78","6,70",8.7,-0.636,0.77,21.43,"2,17","3,76","0,15","6,18","10,69","0,25","1,17","1,17",0.32539999999999997,0.1165,0.0674,0.0118,"0,61",0.0358,0.0072,0.053200000000000004,"0,08","2,32","1,42","4,01","6,93","0,20","0,80","1,39","1,00 %","-24,22 %"
170,SANB3,"11,44","11,44","27,93",12.05,-0.4696,1.23,6.09,-,"5,91","0,10",-,"6,16","1,15","-0,96","-0,96",0.3296,-90000.0,0.19440000000000002,0.1885,"0,09",0.2022,0.0168,-90000.0,"1,88","9,29",-,-,-,"0,08","0,92","0,85","0,84 %","11,08 %"
171,LREN3,"30,96","30,33","60,75",1.81,-0.1954,5.24,22.41,"10,38","14,99","2,09","10,49","15,15","2,57","13,05","13,05",0.6109,0.24760000000000001,0.1714,0.11460000000000001,"0,81",0.2336,0.0932,0.19390000000000002,"1,38","5,91","0,06","0,11","0,17","0,40","0,60","1,40","9,31 %","13,68 %"
172,POSI3,"2,70","2,20","11,47",0.0,0.1739,0.72,18.36,"2,91","3,87","0,20","4,82","6,42","0,20","1,31","1,31",0.2507,0.0687,0.0516,0.0109,"0,98",0.039,0.010700000000000001,0.0733,"0,15","3,77","0,47","1,91","2,54","0,27","0,73","1,25","0,77 %",- %
173,CMIG3,"8,35","7,74","18,76",8.68,-0.4752,0.77,3.89,"2,84","3,92","0,24","5,89","8,13","0,48","5,47","5,47",0.2281,0.16899999999999998,0.1225,0.1232,"0,51",0.1968,0.06269999999999999,0.050300000000000004,"2,14","10,89","0,85","3,15","4,34","0,32","0,68","1,28","3,03 %","4,85 %"
174,SAPR4,"4,15","3,98","22,05",7.04,-0.6981999999999999,1.02,5.81,"3,18","3,84","0,53","4,62","5,58","1,33","-51,99","-51,99",0.6064,0.4175,0.34600000000000003,0.22870000000000001,"0,40",0.17489999999999997,0.09050000000000001,0.1362,"0,71","4,09","0,45","1,42","1,72","0,52","0,48","0,91","9,71 %","19,76 %"
175,LIGT3,"8,99","7,30","24,51",2.15,-0.5665,0.44,2.06,"1,46","2,12","0,11","5,24","7,63","0,20","15,47","15,47",0.24989999999999998,0.14,0.09609999999999999,0.0992,"0,56",0.21309999999999998,0.0557,0.0418,"4,37","20,50","1,14","3,78","5,51","0,26","0,74","1,03","4,18 %","103,73 %"
176,BIDI3,"9,80","8,50","36,91",0.61,-0.6609999999999999,3.14,87.61,"75,11","162,44","0,69","72,45","156,69","8,18","4,57","4,57",0.5455,0.10890000000000001,0.050300000000000004,0.0933,"0,08",0.0358,0.0078000000000000005,-90000.0,"0,11","3,12",-,-,-,"0,22","0,78","1,31","11,95 %","18,54 %"
