,ativo,precoDia,min52,max52,Dividend,Val12%,P/VP,P/L,P/Ebitda,P/Ebit,P/Ativo,EV/Ebitda,EV/EBIT,PSR,P/Cap.Giro,P/Ativo Circ Liq,Margem Bruta%,Margem Ebitda%,Margem Ebit%,Margem Líquida%,Giro Ativos,ROE%,ROA%,ROIC%,LPA,VPA,Dívida Líq/Patrim,Dívida Líq/EBITDA,Dívida Líq/EBIT,Patrim / Ativos,Passivos / Ativos,Liquidez Corrente,CAGR Receitas 5 Anos,CAGR Lucros 5 Anos
177,RENT3,"23,31","23,31","55,40",1.75,-0.25,3.25,21.2,"7,99","11,87","0,91","10,95","16,26","1,73","18,19","18,19",0.2462,0.217,0.1461,0.0818,"0,53",0.1531,0.043,0.0839,"1,10","7,18","1,20","2,96","4,40","0,28","0,72","1,28","21,02 %","15,69 %"
178,BRSR6,"11,12","10,82","24,61",10.6,-0.5064,0.58,3.38,"2,62","3,18","0,06",-,-,"0,50","1,22","1,22",0.47159999999999996,0.1913,0.1574,0.1482,"0,11",0.1725,0.0166,-90000.0,"3,29","19,05",-,-,-,"0,10","0,90","1,11","-3,56 %","7,61 %"
179,CEDO4,"4,45","4,29","13,50",0.0,-0.2583,0.23,0.0,"1,23","2,83","0,06","7,98","18,32","0,07","-4,27","-4,27",0.1124,0.053200000000000004,0.0232,-0.020499999999999997,"0,92",-0.0713,-0.019,0.0146,"-1,39","19,48","1,12","6,03","13,83","0,27","0,73","0,97","11,31 %",- %
180,JBSS3,"20,40","16,44","33,20",0.01,0.1826,1.71,8.61,"2,81","4,13","0,44","4,99","7,32","0,27","4,13","4,13",0.1562,0.0968,0.0659,0.0316,"1,62",0.19899999999999998,0.0512,0.1456,"2,37","11,90","1,32","2,17","3,19","0,26","0,74","1,47","4,65 %","4,74 %"
181,CGAS3,"120,00","63,47","248,73",13.15,0.5094,30.61,11.63,"6,33","7,31","1,88",-,-,"1,67","-1.004,13","-1.004,13",0.3271,0.2641,0.2285,0.1437,"1,13",2.6317000000000004,0.1618,0.2685,"10,32","3,92","8,01","1,66","1,91","0,06","0,94","0,99","7,60 %","14,36 %"
182,ENEV3,"32,35","19,22","48,31",0.0,0.6762,1.48,17.04,-,"10,56","0,74",-,"14,46","3,25","6,93","6,93",0.3945,-90000.0,0.3081,0.1909,"0,23",0.0868,0.0432,0.0742,"1,90","21,87","0,55",-,"3,90","0,50","0,50","2,09","15,62 %","34,30 %"
183,ITUB3,"19,99","19,68","31,57",10.06,-0.2807,1.31,7.05,"5,63","6,27","0,12","5,72","6,38","1,02",-,-,0.6065,0.18030000000000002,0.1618,0.1441,"0,12",0.1861,0.017,-90000.0,"2,84","15,25",-,-,-,"0,09","0,91",-,"8,30 %","1,24 %"
184,BPAN4,"4,16","3,03","11,89",5.78,0.3165,1.02,9.72,-,"21,38","0,15",-,"21,38","0,62","-1,01","-1,01",0.531,-90000.0,0.0288,0.0633,"0,25",0.1047,0.0155,-90000.0,"0,43","4,09",-,-,-,"0,15","0,85","0,75","1,72 %","34,01 %"
185,EMAE4,"25,90","20,27","39,69",2.52,0.1241,0.97,10.33,-,"27,45","0,64",-,"17,62","2,18","2,01","2,01",0.1902,-90000.0,0.0794,0.21100000000000002,"0,29",0.09359999999999999,0.0617,0.0034999999999999996,"2,51","26,80","-0,34",-,"-9,75","0,66","0,34","4,82","17,21 %","9,15 %"
186,SULA11,"34,31","26,34","66,75",1.88,0.0906,1.89,11.44,"12,75","14,37","0,48","-1,60","-1,80","0,62","1,37","1,37",0.1283,0.048799999999999996,0.0433,0.054400000000000004,"0,76",0.1653,0.0416,0.0637,"3,00","18,13","-2,13","-14,35","-16,18","0,25","0,75","1,95","7,60 %","9,88 %"
187,BTOW3,"45,10","29,63","76,56",0.0,0.1654,4.12,0.0,-,"227.655,59","1,47",-,"227.173,62","3.486,66","5,13","5,13",0.29719999999999996,-90000.0,0.015300000000000001,-0.047,"0,00",-0.0001,0.0,0.0,"0,00","10,96","-0,01",-,"-481,96","0,36","0,64","1,95","-5,57 %",- %
188,PDGR3,"3,09","2,78","8,80",0.0,-0.5275,0.0,0.0,"-0,06","-0,05","0,01","-3,46","-3,43","0,08","-0,01","-0,01",0.057,-1.5082,-1.5204,-3.0306,"0,16",0.1848,-0.4702,0.14300000000000002,"-112,79","-610,32",-,"-3,40","-3,38","-2,54","3,54","0,40","-30,29 %",- %
189,ITUB4,"20,66","20,50","36,95",9.73,-0.36229999999999996,1.36,7.28,"5,82","6,48","0,12","5,72","6,38","1,05",-,-,0.6065,0.18030000000000002,0.1618,0.1441,"0,12",0.1861,0.017,-90000.0,"2,84","15,25",-,-,-,"0,09","0,91",-,"8,30 %","1,24 %"
190,BIDI4,"9,32","6,89","23,45",1.99,-0.02,2.99,83.32,"71,43","154,48","0,65","72,45","156,69","7,78","4,35","4,35",0.5455,0.10890000000000001,0.050300000000000004,0.0933,"0,08",0.0358,0.0078000000000000005,-90000.0,"0,11","3,12",-,-,-,"0,22","0,78","1,31","11,95 %","18,54 %"
191,SHOW3,"1,80","1,70","6,75",6.58,-0.7192000000000001,0.44,0.0,"-4,00","-2,55","0,19","-2,24","-1,43","0,31","0,91","0,91",0.1437,-0.0771,-0.1209,-0.18230000000000002,"0,63",-0.2595,-0.1152,-0.142,"-1,06","4,10","-0,19","1,77","1,13","0,44","0,56","1,60","-6,50 %",- %
192,MOVI3,"7,79","7,79","22,49",4.75,-0.3045,1.01,10.22,"3,12","4,97","0,32","5,93","9,45","0,61","-8,02","-8,02",0.24489999999999998,0.1946,0.122,0.0594,"0,53",0.099,0.0315,0.0762,"0,76","7,70","0,91","2,81","4,48","0,32","0,68","0,87","25,88 %","27,71 %"
193,UNIP5,"27,70","19,50","41,60",3.67,-0.1858,1.83,15.72,"4,67","6,82","0,73",-,-,"0,89","6,41","6,41",0.26789999999999997,0.19039999999999999,0.1304,0.0565,"0,82",0.1162,0.0463,0.145,"1,76","15,16","0,11","0,28","0,41","0,40","0,60","1,54","28,83 %","14,43 %"
194,ECOR3,"8,25","8,05","19,10",0.0,-0.12050000000000001,10.12,0.0,"3,38","5,79","0,40","8,27","14,16","1,17","-2,74","-2,74",0.38049999999999995,0.3448,0.20129999999999998,-0.046900000000000004,"0,34",-0.4073,-0.0161,0.0564,"-0,33","0,82","14,63","4,89","8,37","0,04","0,96","0,58","7,64 %",- %
195,CIEL3,"3,98","3,98","9,43",5.2,-0.5548,1.14,6.84,"7,03","7,47","0,12","6,77","7,19","2,04","1,75","1,75",0.5024000000000001,0.2901,0.2731,0.2981,"0,06",0.16690000000000002,0.0169,0.0604,"0,58","3,48","-0,04","-0,27","-0,28","0,10","0,90","1,08","0,40 %","-13,29 %"
196,POMO3,"2,07","2,07","4,95",6.43,-0.3689,0.83,9.24,"6,28","7,79","0,38","8,59","10,65","0,45","1,48","1,48",0.1507,0.0723,0.0583,0.049100000000000005,"0,83",0.08990000000000001,0.0408,0.0525,"0,22","2,49","0,27","2,01","2,50","0,45","0,55","1,87","9,51 %","18,94 %"
197,SANB11,"23,86","23,86","48,87",12.14,-0.44780000000000003,1.28,6.35,-,"6,16","0,11",-,"6,16","1,20","-1,00","-1,00",0.3296,-90000.0,0.19440000000000002,0.1885,"0,09",0.2022,0.0168,-90000.0,"3,76","18,59",-,-,-,"0,08","0,92","0,85","0,84 %","11,08 %"
198,SULA4,"9,00","7,50","19,38",2.39,-0.027000000000000003,1.49,9.01,"10,04","11,31","0,37","-1,60","-1,80","0,49","1,08","1,08",0.1283,0.048799999999999996,0.0433,0.054400000000000004,"0,76",0.1653,0.0416,0.0637,"1,00","6,04","-2,13","-14,35","-16,18","0,25","0,75","1,95","7,60 %","9,88 %"
199,DTEX3,"7,77","7,77","19,30",4.81,-0.2738,1.09,13.25,"3,95","8,41","0,50","5,21","11,07","1,07","3,94","3,94",0.2582,0.2712,0.1276,0.081,"0,47",0.0823,0.0379,0.0718,"0,59","7,13","0,35","1,25","2,67","0,46","0,54","1,63","4,81 %","16,17 %"
200,JBDU4,"1,11","1,11","6,80",0.0,-0.8356,0.08,0.0,-,"-0,23","0,03",-,"-0,47",-,"-0,18","-0,18",-90000.0,-90000.0,-90000.0,-90000.0,"0,00",-0.2206,-0.0785,-0.48450000000000004,"-2,99","13,56","0,07",-,"-0,19","0,36","0,64","0,00",- %,- %
201,RCSL4,"0,93","0,82","2,95",0.0,-0.37579999999999997,0.0,0.0,-,"293,82","1,82",-,"335,75","3,78","-5,66","-5,66",0.2347,-90000.0,0.0129,-0.1856,"0,48",0.051500000000000004,-0.0892,-0.0036,"-0,05","-0,89",-,-,"-0,42","-1,73","2,73","0,56","99,40 %",- %
202,BIDI11,"28,36","24,20","70,66",0.63,-0.3343,3.03,84.51,"72,45","156,69","0,66","72,45","156,69","7,89","4,41","4,41",0.5455,0.10890000000000001,0.050300000000000004,0.0933,"0,08",0.0358,0.0078000000000000005,-90000.0,"0,34","9,36",-,-,-,"0,22","0,78","1,31","11,95 %","18,54 %"
203,RCSL3,"1,33","1,20","4,94",0.0,-0.40630000000000005,0.0,0.0,-,"420,19","2,60",-,"335,75","5,40","-8,10","-8,10",0.2347,-90000.0,0.0129,-0.1856,"0,48",0.051500000000000004,-0.0892,-0.0036,"-0,05","-0,89",-,-,"-0,42","-1,73","2,73","0,56","99,40 %",- %
204,HYPE3,"28,72","24,33","41,78",4.75,0.1383,2.08,15.6,"15,53","16,73","1,52","14,81","15,95","5,51","5,75","5,75",0.633,0.35479999999999995,0.3295,0.3533,"0,28",0.1336,0.0977,0.0986,"1,84","13,78","-0,10","-0,72","-0,78","0,73","0,27","3,00","2,19 %","15,76 %"
205,SAPR11,"20,86","19,86","111,60",6.88,-0.7186,1.02,5.84,"3,20","3,86","0,53","4,62","5,58","1,34","-52,26","-52,26",0.6064,0.4175,0.34600000000000003,0.22870000000000001,"0,40",0.17489999999999997,0.09050000000000001,0.1362,"3,57","20,43","0,45","1,42","1,72","0,52","0,48","0,91","9,71 %","19,76 %"
206,BPAC11,"32,31","26,49","81,45",4.13,-0.1354,1.33,7.57,"7,37","5,84","0,16","7,37","5,84","2,55","1,52","1,52",0.3118,0.3461,0.43670000000000003,0.3369,"0,06",0.1759,0.0213,-90000.0,"4,27","24,27",-,-,-,"0,12","0,88","1,16","-0,93 %","45,47 %"
207,SBSP3,"34,18","30,50","66,47",3.39,-0.141,1.08,6.94,"3,12","4,09","0,50","4,59","6,01","1,30","-15,00","-15,00",0.4363,0.41659999999999997,0.3176,0.1873,"0,39",0.15560000000000002,0.0725,0.12619999999999998,"4,93","31,65","0,51","1,47","1,92","0,47","0,53","0,76","8,96 %","44,41 %"
208,WIZS3,"8,53","6,66","14,91",20.87,0.23800000000000002,6.93,6.1,-,"3,69","2,33",-,"3,56","2,00","-11,27","-11,27",0.7186,-90000.0,0.5424,0.32799999999999996,"1,16",1.1360999999999999,0.3815,1.1787999999999998,"1,40","1,23","-0,23",-,"-0,12","0,34","0,66","0,53","13,39 %","17,52 %"
209,GRND3,"6,89","6,76","12,91",4.66,-0.1525,1.69,12.56,"14,43","17,58","1,53","11,74","14,31","3,00","2,64","2,64",0.4561,0.20800000000000002,0.1707,0.239,"0,51",0.1344,0.12179999999999999,0.0821,"0,55","4,08","-0,31","-2,69","-3,27","0,91","0,09","8,91","-1,23 %","-1,70 %"
210,OMGE3,"26,80","20,00","43,00",0.34,0.29469999999999996,1.59,139.6,-,"11,80","0,63",-,"19,62","4,49","4,84","4,84",0.3918,-90000.0,0.38060000000000005,0.0322,"0,14",0.011399999999999999,0.0045000000000000005,0.051399999999999994,"0,19","16,84","1,06",-,"7,82","0,39","0,61","3,81","47,92 %","46,86 %"
211,PMAM3,"9,43","7,49","43,50",0.0,-0.6092,0.66,0.0,"1,49","3,35","0,11","9,07","20,35","0,08","1,82","1,82",0.0121,0.0525,0.023399999999999997,-0.0048,"1,35",-0.0404,-0.006500000000000001,-0.0315,"-0,58","14,32","3,35","7,58","17,01","0,16","0,84","1,17","-0,55 %",- %
212,EZTC3,"25,30","19,97","60,16",0.55,0.1469,1.51,19.77,"24,96","26,09","1,34","19,46","20,34","7,14","2,72","2,72",0.408,0.28600000000000003,0.2736,0.3611,"0,19",0.0762,0.0679,0.0513,"1,28","16,78","-0,33","-5,50","-5,75","0,89","0,11","7,41","-0,25 %","-8,16 %"
213,INEP4,"6,30","4,65","15,20",0.0,-0.5263,0.0,0.0,-,"-0,19","0,04",-,"-2,63","1,90","-0,03","-0,03",0.31120000000000003,-90000.0,-9.9022,-13.996099999999998,"0,02",0.2177,-0.2595,0.2477,"-46,33","-212,82",-,-,"-2,43","-1,19","2,19","0,14","-39,82 %",- %
214,ENGI3,"12,02","10,24","15,84",1.0,-0.2275,3.38,41.37,-,"9,31","0,55",-,"11,74","1,10","9,39","9,39",0.1634,-90000.0,0.1177,0.0265,"0,51",0.0816,0.0134,0.08,"0,29","3,56","2,23",-,"6,16","0,16","0,84","1,31","10,32 %","8,45 %"
215,MULT3,"18,14","17,20","35,52",2.59,-0.21100000000000002,1.95,23.23,"11,85","15,47","1,14","14,24","18,58","8,35","27,90","27,90",0.7915000000000001,0.7042,0.5396,0.3594,"0,14",0.0839,0.049,0.0707,"0,78","9,31","0,39","2,39","3,12","0,58","0,42","1,42","4,16 %","5,33 %"
216,BMKS3,"195,00","0,00","290,72",4.3,-0.3293,0.47,33.01,-,"-16,62","0,40",-,"9,77","5,71","0,56","0,56",0.2666,-90000.0,-0.3439,0.17309999999999998,"0,07",0.0141,0.012199999999999999,-0.034,"5,91","418,50","-0,74",-,"26,39","0,86","0,14","27,35","-5,52 %","-24,44 %"
217,MTRE3,"10,00","9,55","20,80",0.0,-0.5192,16.7,33.06,-,"25,07","2,67",-,"27,14","3,39","13,41","13,41",0.3182,-90000.0,0.1353,0.1026,"0,79",0.5053,0.0808,0.1967,"0,30","0,60","1,38",-,"2,07","0,16","0,84","1,35",- %,- %
218,TIMP3,"12,35","10,24","17,49",3.33,0.0181,1.33,8.25,"3,10","6,62","0,74","3,01","6,42","1,72","88,82","88,82",0.5722,0.555,0.25980000000000003,0.2084,"0,43",0.16149999999999998,0.0898,0.1472,"1,50","9,27","-0,04","-0,09","-0,20","0,56","0,44","1,04","0,27 %","11,67 %"
219,STBP3,"3,73","3,02","8,45",0.12,-0.0132,1.85,162.49,"11,27","29,06","0,78","11,32","29,18","2,57","6,90","6,90",0.2571,0.2279,0.08839999999999999,0.0158,"0,30",0.011399999999999999,0.0048,0.042699999999999995,"0,02","2,02","0,01","0,05","0,13","0,42","0,58","2,54","0,17 %",- %
220,JHSF3,"3,01","2,14","8,95",2.76,0.2336,0.63,5.91,-,"3,16","0,33",-,"4,25","3,03","3,86","3,86",0.4875,-90000.0,0.9595,0.513,"0,11",0.1069,0.055999999999999994,0.1091,"0,51","4,77","0,22",-,"1,10","0,52","0,48","2,16","0,18 %","24,38 %"
221,VIVR3,"0,99","0,75","3,60",0.0,-0.725,0.0,0.0,-,"-0,28","0,09",-,"-1,44",-,"-0,19","-0,19",0.24480000000000002,-90000.0,1.1333,1.5168000000000001,"-0,28",1.6424,-0.42950000000000005,-2.6592000000000002,"-4,73","-2,88",-,-,"-1,16","-0,26","1,26","0,45",- %,- %
222,TCSA3,"0,65","0,60","2,19",0.0,-0.4961,0.51,0.0,-,"-2,25","0,28",-,"-2,36","1,31","1,26","1,26",0.0861,-90000.0,-0.5799,-0.7169,"0,21",-0.2772,-0.1527,-0.16829999999999998,"-0,36","1,29","0,02",-,"-0,11","0,55","0,45","2,08","-22,05 %",- %
223,RSID3,"4,00","3,65","11,22",0.0,-0.0971,0.0,0.0,"-0,16","-0,16","0,03","-3,40","-3,33","1,17","-0,08","-0,08",-0.41259999999999997,-7.3515,-7.5126,-10.3912,"0,03",1.0796999999999999,-0.2999,-0.4915,"-35,42","-32,80",-,"-3,24","-3,17","-0,28","1,28","0,49","-45,17 %",- %
224,TEND3,"19,38","16,13","39,58",3.08,0.1832,1.5,7.65,-,"6,96","0,58",-,"6,27","1,04","1,05","1,05",0.3323,-90000.0,0.1491,0.1356,"0,56",0.1956,0.076,0.115,"2,53","12,95","-0,15",-,"-0,69","0,39","0,61","4,33","18,04 %","54,85 %"
225,BTTL3,"4,41","3,41","11,25",0.0,0.19190000000000002,6.5,6.78,"2,53","3,26","0,50","3,69","4,76","0,14","-42,97","-42,97",0.1469,0.055,0.042699999999999995,0.020499999999999997,"3,61",0.9586,0.0741,0.4128,"0,65","0,68","2,98","1,16","1,50","0,08","0,92","0,97","6,70 %","-31,52 %"
226,TRIS3,"6,00","4,46","17,10",1.14,0.2793,1.02,7.41,-,"6,57","0,62",-,"5,50","1,40","1,15","1,15",0.35700000000000004,-90000.0,0.2133,0.1891,"0,44",0.1382,0.084,0.10949999999999999,"0,81","5,86","-0,17",-,"-1,07","0,61","0,39","3,15","16,04 %","43,54 %"
227,CRFB3,"21,18","17,30","24,55",1.33,0.060599999999999994,2.86,31.66,"10,91","15,12","0,94","10,62","14,71","0,70","20,06","20,06",0.2073,0.0641,0.0463,0.022099999999999998,"1,34",0.09029999999999999,0.0296,0.09539999999999998,"0,67","7,41","-0,08","-0,29","-0,40","0,33","0,67","1,10","7,65 %","6,16 %"
228,LAME3,"13,62","11,78","24,62",1.34,0.0741,2.99,37.98,"7,21","10,49","0,66","10,92","15,87","1,16","2,64","2,64",0.36369999999999997,0.16140000000000002,0.111,0.030699999999999998,"0,57",0.0788,0.0175,0.0776,"0,36","4,55","0,98","2,36","3,43","0,22","0,78","1,79","1,12 %","55,24 %"
229,ALPA4,"23,70","15,00","37,91",0.23,0.546,5.1,53.74,"30,34","32,48","3,08","26,17","28,02","3,75","10,30","10,30",0.5029,0.12369999999999999,0.11560000000000001,0.0699,"0,82",0.09480000000000001,0.057300000000000004,0.1054,"0,44","4,65","-0,11","-0,63","-0,67","0,60","0,40","2,08","-1,67 %","-0,30 %"
230,ETER3,"2,35","1,91","7,30",0.0,0.1634,0.0,0.0,"1,39","2,00","0,14","3,33","4,78","0,15","18,75","18,75",0.14029999999999998,0.1099,0.0765,-0.0258,"0,90",4.545,-0.0231,-0.1775,"-0,40","-0,09",-,"1,94","2,79","-0,01","1,01","1,02","-12,90 %",- %
231,LAME4,"17,44","14,44","29,06",1.05,0.09480000000000001,3.83,48.63,"9,24","13,43","0,85","10,92","15,87","1,49","3,39","3,39",0.36369999999999997,0.16140000000000002,0.111,0.030699999999999998,"0,57",0.0788,0.0175,0.0776,"0,36","4,55","0,98","2,36","3,43","0,22","0,78","1,79","1,12 %","55,24 %"
232,FRTA3,"5,80","0,80","13,70",0.0,0.0761,0.0,19.44,"-9,20","-5,59","0,36","-51,89","-31,53","1,22","-0,15","-0,15",0.2924,-0.1322,-0.21760000000000002,0.0625,"0,29",-0.0088,0.0183,0.17329999999999998,"0,30","-33,97",-,"-42,70","-25,94","-2,08","3,08","0,04","-23,88 %",- %
233,DIRR3,"7,41","7,18","18,39",6.75,-0.1189,0.83,9.41,-,"5,89","0,24",-,"6,63","0,78","0,63","0,63",0.3368,-90000.0,0.1324,0.08289999999999999,"0,31",0.0882,0.026000000000000002,0.07139999999999999,"0,79","8,93","0,10",-,"0,74","0,29","0,71","4,52","-1,46 %","-5,01 %"
234,MRVE3,"11,23","10,23","22,35",9.89,-0.1638,1.06,7.24,"6,54","7,31","0,37","9,59","10,72","0,89","1,08","1,08",0.3042,0.1367,0.1223,0.1235,"0,41",0.1464,0.0509,0.0735,"1,55","10,60","0,49","3,05","3,41","0,35","0,65","2,78","4,92 %","4,67 %"
235,LEVE3,"15,10","15,10","32,77",14.15,-0.3121,1.49,7.57,"4,40","5,61","0,83","4,96","6,33","0,77","3,80","3,80",0.2535,0.1745,0.1367,0.1013,"1,09",0.1973,0.1099,0.1732,"1,99","10,11","0,19","0,57","0,72","0,56","0,44","1,87","0,75 %","8,25 %"
236,PNVL4,"18,00","7,94","265,00",30.82,-0.9320999999999999,4.65,31.77,"11,34","20,36","1,67","16,16","29,03","0,90","6,97","6,97",0.2969,0.0789,0.044000000000000004,0.0282,"1,87",0.1464,0.0526,0.1124,"0,57","3,87","0,83","2,02","3,62","0,36","0,64","1,70","6,53 %","11,14 %"
237,NTCO3,"23,68","21,34","50,89",0.54,0.0464,8.36,180.87,-,"20,81","1,33",-,"24,69","1,95","14,71","14,71",0.7208,-90000.0,0.0935,0.0108,"0,68",0.0462,0.0073,0.085,"0,13","2,83","1,56",-,"3,88","0,16","0,84","1,25","12,83 %","-21,54 %"
238,BBRK3,"1,47","1,21","6,94",0.0,-0.7134999999999999,0.21,0.0,-,"-0,74","0,13",-,"0,04","0,39","1,73","1,73",0.7237,-90000.0,-0.5325,-0.5199,"0,34",-0.2732,-0.17559999999999998,-0.2961,"-1,95","7,14","-0,22",-,"0,77","0,64","0,36","1,49","-3,93 %",- %
239,TEKA3,"8,50","6,51","16,80",0.0,-0.13970000000000002,0.0,0.0,"-0,18","-0,15","0,00","-20,29","-16,61","0,03","0,00","0,00",0.149,-0.1566,-0.1913,-0.8676,"0,15",0.0825,-0.1317,0.0278,"-256,44","-3.108,32",-,"-20,12","-16,48","-1,60","2,60","0,03","0,99 %",- %
240,BGIP4,"23,49","23,10","38,37",9.19,-0.3287,0.83,4.29,-,"3,07","0,06",-,"4,54","0,53","-1,05","-1,05",0.5834,-90000.0,0.17149999999999999,0.1226,"0,12",0.19269999999999998,0.0151,-90000.0,"5,47","28,38",-,-,-,"0,08","0,92","0,91","2,22 %","25,22 %"
241,BRSR3,"13,97","13,97","24,73",8.44,-0.3918,0.73,4.25,"3,29","4,00","0,07",-,-,"0,63","1,54","1,54",0.47159999999999996,0.1913,0.1574,0.1482,"0,11",0.1725,0.0166,-90000.0,"3,29","19,05",-,-,-,"0,10","0,90","1,11","-3,56 %","7,61 %"
242,CYRE3,"12,77","12,45","34,38",14.26,-0.1537,0.99,9.55,-,"8,65","0,51",-,"10,58","1,30","1,61","1,61",0.3093,-90000.0,0.1501,0.1359,"0,39",0.1032,0.0535,0.06559999999999999,"1,34","12,95","0,22",-,"1,93","0,52","0,48","2,44","-1,97 %","-2,07 %"
243,EUCA4,"4,10","3,10","8,53",1.11,-0.0097,0.29,5.78,"1,42","2,86","0,17","3,93","7,89","0,25","4,38","4,38",0.2805,0.1747,0.087,0.043,"0,66",0.0495,0.0286,0.058499999999999996,"0,71","14,32","0,31","1,56","3,13","0,58","0,42","1,14","5,94 %","44,27 %"
244,TGMA3,"16,07","16,07","41,27",12.56,-0.38549999999999995,1.84,5.47,"3,95","4,37","1,08","4,51","4,99","0,79","5,88","5,88",0.21289999999999998,0.19920000000000002,0.1801,0.14400000000000002,"1,37",0.3373,0.1968,0.2159,"2,94","8,71","0,26","0,56","0,62","0,58","0,42","1,67","3,72 %","81,20 %"
245,CSMG3,"38,18","32,76","71,76",2.46,-0.3804,0.72,6.42,-,"4,19","0,42",-,"6,60","0,94","6,68","6,68",0.4181,-90000.0,0.22399999999999998,0.1463,"0,45",0.1119,0.0654,0.0883,"5,95","53,20","0,41",-,"2,41","0,58","0,42","1,65","6,11 %",- %
246,JSLG3,"12,70","9,78","36,34",1.49,0.15039999999999998,1.1,8.24,-,"2,19","0,13",-,"9,45","0,27","0,62","0,62",0.2126,-90000.0,0.12380000000000001,0.0329,"0,48",0.13390000000000002,0.015700000000000002,0.0643,"1,54","11,51","3,66",-,"7,26","0,12","0,88","1,90","10,09 %","46,78 %"
247,SMTO3,"14,93","12,30","29,75",4.41,-0.1938,1.43,9.4,-,"5,05","0,46",-,"9,34","1,56","2,20","2,20",0.2993,-90000.0,0.30879999999999996,0.1659,"0,29",0.1522,0.0489,0.10300000000000001,"1,59","10,44","1,21",-,"4,28","0,32","0,68","2,75","11,89 %","1,72 %"
248,BKBR3,"7,81","6,85","23,07",0.65,-0.6548999999999999,1.0,36.7,-,"14,32","0,51",-,"13,64","0,62","9,34","9,34",0.6224000000000001,-90000.0,0.0434,0.0169,"0,81",0.027200000000000002,0.0138,0.051699999999999996,"0,21","7,83","-0,05",-,"-0,68","0,51","0,49","1,28","24,74 %",- %
249,MILS3,"3,36","3,36","10,85",0.0,-0.2851,0.76,0.0,"7,09","-19,69","0,62","7,31","-20,27","1,93","6,42","6,42",0.35719999999999996,0.27140000000000003,-0.0978,-0.1024,"0,32",-0.0406,-0.0327,-0.0438,"-0,18","4,40","0,02","0,21","-0,59","0,80","0,20","1,76","-5,27 %",- %
250,ANIM3,"17,40","15,53","38,75",0.04,-0.1217,2.79,0.0,"8,18","16,04","0,80","12,70","24,90","1,63","16,58","16,58",0.4316,0.19899999999999998,0.1015,-0.008100000000000001,"0,49",-0.0139,-0.004,0.0603,"-0,09","6,24","1,54","4,52","8,86","0,29","0,71","1,34","7,19 %",- %
251,AMAR3,"3,92","3,75","15,28",0.0,-0.4578,0.72,0.0,"5,53","15,33","0,26","9,81","27,19","0,36","1,24","1,24",0.4619,0.0643,0.0232,-0.039,"0,72",-0.0791,-0.027999999999999997,0.011699999999999999,"-0,43","5,43","0,56","4,28","11,86","0,35","0,65","1,54","-1,85 %",- %
252,SEER3,"14,14","13,03","33,46",19.57,-0.2443,1.39,13.35,"4,65","6,99","0,71","4,34","6,52","1,43","7,64","7,64",0.545,0.3066,0.204,0.1069,"0,50",0.1042,0.0533,0.17420000000000002,"1,06","10,17","-0,09","-0,32","-0,48","0,51","0,49","1,59","4,57 %","-3,27 %"
253,MDIA3,"27,80","26,78","45,00",0.9,-0.3311,1.56,16.92,"12,19","17,50","1,16","12,99","18,64","1,54","8,07","8,07",0.35409999999999997,0.1266,0.0882,0.09119999999999999,"0,75",0.09230000000000001,0.0687,0.075,"1,64","17,80","0,10","0,80","1,14","0,74","0,26","2,01","5,72 %","-1,61 %"
254,ALSO3,"23,91","21,92","54,90",1.9,-0.1895,0.85,112.21,"19,26","25,01","0,58","15,62","20,29","8,55","4,87","4,87",0.7308,0.4439,0.3418,0.0762,"0,07",0.0075,0.0052,0.0274,"0,21","28,28","-0,16","-3,64","-4,72","0,69","0,31","6,44","17,55 %","-22,61 %"
255,POMO4,"2,22","2,15","5,53",5.99,-0.40159999999999996,0.89,9.91,"6,74","8,36","0,40","8,59","10,65","0,49","1,59","1,59",0.1507,0.0723,0.0583,0.049100000000000005,"0,83",0.08990000000000001,0.0408,0.0525,"0,22","2,49","0,27","2,01","2,50","0,45","0,55","1,87","9,51 %","18,94 %"
256,VIVA3,"13,95","10,72","32,71",1.21,-0.41850000000000004,3.02,12.77,-,"11,25","1,75",-,"10,68","4,40","3,83","3,83",0.7120000000000001,-90000.0,0.3907,0.34409999999999996,"0,40",0.23670000000000002,0.1373,0.1718,"1,09","4,61","-0,15",-,"-0,56","0,58","0,42","2,88",- %,- %
257,TECN3,"1,05","0,95","4,07",0.0,-0.5962,0.24,0.0,-,"-0,65","0,12",-,"-0,97","0,26","0,36","0,36",0.3455,-90000.0,-0.40049999999999997,-0.38789999999999997,"0,47",-0.35609999999999997,-0.1814,-0.3042,"-1,56","4,39","0,12",-,"-0,32","0,51","0,49","2,41","-4,46 %",- %
258,BRML3,"8,85","7,99","19,22",9.33,-0.2311,0.67,5.59,"3,80","3,93","0,41","4,75","4,91","6,15","11,69","11,69",0.8956000000000001,1.6192,1.5652000000000001,1.0997,"0,07",0.1193,0.07400000000000001,0.1112,"1,58","13,27","0,17","0,95","0,98","0,62","0,38","2,41","-1,61 %","83,67 %"
259,LPSB3,"3,17","3,05","10,27",0.0,-0.3382,2.64,0.0,-,"119,57","1,15",-,"82,22","3,17","3,75","3,75",0.8367,-90000.0,0.0265,-0.018799999999999997,"0,36",-0.015600000000000001,-0.0068000000000000005,-0.052300000000000006,"-0,02","1,20","-0,82",-,"-37,35","0,44","0,56","2,83","-6,29 %",- %
